#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,Justin Bieber @UCIwFjwMjI0y7PDBVEO9-bkQ,69.7M,-,Canada,,20.9M,Justin Bieber,69700000,"32,308,818,102",249
2,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,Canada,Travel,11.2M,Super Simple Songs - Kids Songs,37300000,"50,686,818,840",790
3,The Weeknd @UC0WP5P-ufpRfjbNrmOWwLBQ,28.7M,0.20%,Canada,,8.6M,The Weeknd,28700000,"27,153,599,873",172
4,WatchMojo.com @UCaWd5_7JhbQBe4dknZhsHJg,24.7M,-,Canada,,7.4M,WatchMojo.com,24700000,"16,841,435,984",27063
5,Linus Tech Tips @UCXuqSBlHAE6Xw-yeJA0Tunw,14.9M,0.40%,Canada,,4.5M,Linus Tech Tips,14900000,"7,808,855,657",6873
6,AzzyLand @UCzeB_0FNcPIyUSjL_TL5lEw,13.4M,-,Canada,,4M,AzzyLand,13400000,"6,614,192,850",1871
7,Typical Gamer @UC2wKfjlioOCLP4xQMOWNcgg,13M,-,Canada,,3.9M,Typical Gamer,13000000,"4,830,526,949",5002
8,Hacksmith Industries @UCjgpFI5dU-D1-kh9H1muoxQ,13M,-,Canada,,3.9M,Hacksmith Industries,13000000,"2,427,524,254",1102
9,MrSuicideSheep @UC5nc_ZtjKW1htCVZVRxlQAQ,12.8M,-,Canada,,3.8M,MrSuicideSheep,12800000,"7,148,351,395",3656
10,HZHtube Kids Fun @UCAgx4HcQIYn9lM0rhtIuH9w,12.1M,-,Canada,,3.6M,HZHtube Kids Fun,12100000,"4,586,663,024",1137
11,"Baby Big Mouth Kids - Sing, Dance, Explore @UCWr4vlkj5xXQ4bSXNeTT2AA",10.5M,-,Canada,Music Travel,3.2M,"Baby Big Mouth Kids - Sing, Dance, Explore",10500000,"7,751,790",42
12,SAS-ASMR @UCp4LfMtDfoa29kTlLnqQ5Mg,9.4M,-,Canada,,2.8M,SAS-ASMR,9400000,"2,957,482,319",2227
13,WatchMojo EspaÃ±ol @UClgevvAYKcfuthTWppKT0IQ,8M,-,Canada,,2.4M,WatchMojo Español,8000000,"2,517,782,099",6308
14,MostAmazingTop10 @UCBINYCmwE29fBXCpUI8DgTA,7.7M,-,Canada,,2.3M,MostAmazingTop10,7700000,"2,759,390,848",8068
